order_item_id,order_id,product_id,quantity,unit_price
1,1,22,2,540.27
2,2,28,3,793.57
3,2,102,1,727.66
4,2,197,3,957.02
5,2,111,3,798.23
6,2,52,5,965.66
7,2,103,4,182.05
8,3,180,4,738.06
9,3,190,1,243.44
10,4,117,2,823.39
11,4,10,4,35.47
12,4,140,2,980.77
13,5,55,4,825.60
14,5,82,1,674.75
15,5,146,3,169.62
16,5,9,4,13.77
17,5,154,4,662.79
18,5,199,2,888.80
19,6,55,1,825.60
20,7,109,2,755.12
21,7,70,1,406.76
22,7,65,3,674.91
23,7,163,4,865.18
24,7,46,1,301.10
25,7,22,3,540.27
26,8,116,2,719.69
27,8,108,1,228.98
28,8,135,1,231.06
29,8,55,4,825.60
30,8,172,3,817.35
31,8,67,3,271.47
32,9,51,4,765.92
33,9,90,4,660.94
34,10,138,4,226.62
35,10,177,3,955.88
36,10,42,5,729.27
37,10,179,4,226.37
38,11,144,5,647.03
39,12,20,5,283.43
40,12,186,5,18.32
41,13,83,3,769.73
42,13,171,1,706.58
43,14,118,4,26.71
44,14,38,3,117.01
45,15,173,4,413.05
46,16,134,4,46.28
47,16,185,2,861.79
48,16,1,4,272.55
49,17,149,4,94.88
50,17,25,5,378.71
51,17,10,2,35.47
52,17,56,5,689.90
53,17,191,4,19.63
54,17,49,2,863.76
55,18,54,5,696.58
56,18,49,1,863.76
57,18,174,3,518.14
58,19,5,5,348.38
59,19,78,1,248.47
60,19,79,4,242.64
61,20,117,3,823.39
62,20,106,1,576.94
63,20,91,2,403.88
64,20,139,4,214.70
65,20,110,4,247.93
66,20,134,3,46.28
67,21,142,2,972.94
68,21,153,5,105.33
69,22,98,4,619.94
70,22,73,3,38.52
71,22,169,5,177.78
72,22,177,1,955.88
73,23,27,1,447.29
74,24,5,5,348.38
75,24,158,5,15.40
76,24,106,1,576.94
77,24,27,4,447.29
78,24,128,5,201.55
79,24,192,5,258.45
80,25,171,3,706.58
81,26,55,5,825.60
82,26,58,4,372.92
83,26,199,1,888.80
84,26,117,2,823.39
85,27,32,4,171.87
86,27,90,1,660.94
87,27,119,3,849.76
88,27,106,2,576.94
89,28,73,4,38.52
90,28,69,2,895.57
91,28,169,1,177.78
92,28,68,4,741.14
93,28,79,1,242.64
94,29,7,2,63.01
95,30,133,3,84.64
96,30,190,3,243.44
97,30,154,2,662.79
