order_id,customer_id,order_date,status,total_amount,shipping_country
1,6f898a0b-d583-435f-9d37-ccc56477947c,2025-03-01T23:28:46.434548,cancelled,1080.54,India
2,17450b55-da23-47ad-8d7d-a68b04e1c2fe,2025-05-27T23:28:46.434695,paid,13930.62,India
3,0066a49b-c8f1-472f-98de-74abb463f2ab,2024-07-17T23:28:46.434779,paid,3195.68,Germany
4,d1b0ea63-69ee-4ec2-a6a8-1e1b42360e51,2024-10-03T23:28:46.434850,paid,3750.20,UK
5,e7c93db8-9f50-4464-b1ea-6be0e31930a5,2025-02-18T23:28:46.434897,paid,8969.85,Canada
6,b120a4f7-219c-4621-b679-55e1964f0be9,2024-10-10T23:28:46.434956,paid,825.60,Japan
7,6bc9baf6-1c75-4097-a101-e9ca456e4816,2025-01-27T23:28:46.435000,paid,9324.36,Germany
8,e0a29976-d114-4347-ac3a-6481be52424c,2024-05-23T23:28:46.435047,shipped,8468.28,France
9,c82c637f-99c6-47d2-a8f7-308e504a17e0,2024-01-04T23:28:46.435091,paid,5707.44,France
10,732001b8-b2a1-4dd7-9311-6949a7fadc06,2024-07-14T23:28:46.435138,paid,8325.95,USA
11,24369008-5b0c-4d28-9cdb-c37a76c6971d,2024-08-15T23:28:46.435178,paid,3235.15,Germany
12,7768640a-56f8-40e1-803f-31ad1029b353,2024-03-12T23:28:46.435219,paid,1508.75,Japan
13,ad42b034-72c6-42c3-b099-324d0488666b,2024-01-28T23:28:46.435260,paid,3015.77,UK
14,b7fddab2-10e2-49a0-bca1-b0bde63920d2,2024-11-23T23:28:46.435293,paid,457.87,Canada
15,e419ae6f-cc9f-4ea7-8d5e-28ada22bf39d,2025-08-14T23:28:46.435331,paid,1652.20,Australia
16,4dcc8373-9aef-4f4f-9a45-f33b53c851b4,2025-02-20T23:28:46.435383,paid,2998.90,France
17,a8ce7d8d-05af-41a3-9828-3d8e68745b56,2024-05-27T23:28:46.435425,shipped,7599.55,Australia
18,36286d83-9f99-41ce-945c-cb253fd65a86,2025-01-24T23:28:46.435468,paid,5901.08,India
19,0681fdd5-52d1-49c7-b5c6-2282ea56db87,2024-06-28T23:28:46.435511,cancelled,2960.93,Australia
20,0c7f2e83-b486-4c01-a454-044029872c38,2025-11-04T23:28:46.435555,shipped,5844.23,Germany
21,8a210310-635b-4cda-9c52-fd4d0d8d4800,2025-03-22T23:28:46.435600,shipped,2472.53,USA
22,16e07ba5-6ccb-478d-86e9-0d74f0d94f64,2024-09-18T23:28:46.435645,shipped,4440.10,Japan
23,be2dacb7-9933-4995-a2ca-ce4f7e55a0b9,2025-03-03T23:28:46.435688,paid,447.29,Japan
24,6f138189-e99c-4070-bdeb-2aa88fffa104,2024-10-22T23:28:46.435733,paid,6485.00,USA
25,6341d3df-0898-4915-bf81-29998ab3242c,2024-02-12T23:28:46.435798,paid,2119.74,UK
26,976d3a46-5469-421d-b28a-802180af2c36,2024-01-19T23:28:46.435844,shipped,8155.26,Canada
27,4dcc8373-9aef-4f4f-9a45-f33b53c851b4,2025-05-05T23:28:46.435887,shipped,5051.58,France
28,7e9a41e4-ee71-46e1-9669-27b3f82e1669,2025-01-21T23:28:46.435937,paid,5330.20,India
29,d1c20c7e-e339-471c-9010-559e9df9b8e0,2024-08-07T23:28:46.436003,paid,126.02,Australia
30,16e07ba5-6ccb-478d-86e9-0d74f0d94f64,2024-12-20T23:28:46.436064,pending,2309.82,Japan
31,ee6eb6d1-3d00-42d2-9925-ac935fcc40ce,2024-05-15T23:28:46.436109,pending,11589.26,Japan
32,cb7e0496-d8b3-4a00-9e3d-78bf02fc57b4,2025-02-11T23:28:46.436154,paid,5558.84,France
33,23fff952-b246-4b91-9192-96716e1c64e5,2025-11-05T23:28:46.436193,paid,1715.05,Japan
34,7ca8baac-ecd6-4ebc-9531-c6bab061fbea,2024-06-26T23:28:46.436232,paid,5830.67,Germany
35,fd988927-658f-407b-8195-57703a27b695,2024-06-21T23:28:46.436269,returned,890.67,India
36,a14ae6cc-2121-43ff-9b91-add73f50f021,2025-10-12T23:28:46.436319,paid,2722.88,Canada
37,76176723-d9b4-466a-b06f-453e68bda572,2025-02-14T23:28:46.436360,shipped,2532.96,Australia
38,2372f764-981c-4aaa-8468-6411fb3b3125,2024-07-20T23:28:46.436403,paid,39.26,Germany
39,3b95ae22-4d94-4898-9233-7b6e12ed3dcf,2024-10-19T23:28:46.436450,shipped,5342.14,Canada
40,e5b70b91-5f59-4e5d-9e6c-b11603ccfe91,2025-03-04T23:28:46.436491,paid,1526.43,India
41,d3ecf03a-ea85-445d-b2c9-b446afc1086f,2025-10-10T23:28:46.436531,paid,6627.10,UK
42,495108f5-f0b9-49c7-8628-10573eb416bb,2024-01-02T23:28:46.436574,returned,333.84,Canada
43,c0ca2b00-62d8-4d78-8315-d37b23892149,2023-12-17T23:28:46.436615,returned,4049.23,India
44,54109ec0-9b19-43f4-aefd-144834adb3b8,2024-02-08T23:28:46.436654,shipped,5226.13,Japan
45,5b7769bb-a40a-4f67-80f5-f6ca39c45dec,2024-07-09T23:28:46.436695,paid,10208.87,USA
46,bf591dff-5a12-4bf1-85e0-4cdc69f61a36,2025-09-21T23:28:46.436724,shipped,120.75,USA
47,e5b70b91-5f59-4e5d-9e6c-b11603ccfe91,2025-07-21T23:28:46.436790,paid,5061.03,India
48,3314b78d-734b-4bb7-8e00-d73468634fef,2025-10-29T23:28:46.436831,paid,7368.11,UK
